[2024-02-23 21:21:13] Wrote data to window! 3


[2024-02-23 21:21:13] Recieved info from Drone!  7
[2024-02-23 21:21:13] Wrote data to window! 3




[2024-02-23 21:21:13] Recieved info from Drone!  7
[2024-02-23 21:21:13] Wrote data to window! 3

[2024-02-23 21:21:13] Recieved info from Drone!  7
[2024-02-23 21:21:13] Wrote data to window! 3




[2024-02-23 21:21:13] Recieved info from Drone!  7
[2024-02-23 21:21:13] Wrote data to window! 3

[2024-02-23 21:21:13] Recieved info from Drone!  7
[2024-02-23 21:21:13] Wrote data to window! 3

[2024-02-23 21:21:13] Recieved info from Drone!  7
[2024-02-23 21:21:13] Wrote data to window! 3



[2024-02-23 21:21:13] Recieved info from Drone!  7
[2024-02-23 21:21:13] Wrote data to window! 3

[2024-02-23 21:21:13] Recieved info from Drone!  7
[2024-02-23 21:21:13] Wrote data to window! 3







[2024-02-23 21:21:14] Recieved info from Drone!  7
[2024-02-23 21:21:14] Wrote data to window! 3







[2024-02-23 21:21:14] Recieved info from Drone!  7
[2024-02-23 21:21:14] Wrote data to window! 3

[2024-02-23 21:21:14] Recieved info from Drone!  7
[2024-02-23 21:21:14] Wrote data to window! 3

[2024-02-23 21:21:14] Recieved info from Drone!  7
[2024-02-23 21:21:14] Wrote data to window! 3

[2024-02-23 21:21:14] Recieved info from Drone!  7
[2024-02-23 21:21:14] Wrote data to window! 3













[2024-02-23 21:21:14] Recieved info from Drone!  7
[2024-02-23 21:21:14] Wrote data to window! 3








[2024-02-23 21:21:14] Recieved info from Drone!  7
[2024-02-23 21:21:14] Wrote data to window! 3



[2024-02-23 21:21:14] Recieved info from Drone!  7
[2024-02-23 21:21:14] Wrote data to window! 3



[2024-02-23 21:21:14] Recieved info from Drone!  7
[2024-02-23 21:21:14] Wrote data to window! 3


[2024-02-23 21:21:14] Recieved info from Drone!  7
[2024-02-23 21:21:14] Wrote data to window! 3


[2024-02-23 21:21:15] Recieved info from Drone!  7
[2024-02-23 21:21:15] Wrote data to window! 3


[2024-02-23 21:21:15] Recieved info from Drone!  7
[2024-02-23 21:21:15] Wrote data to window! 3



[2024-02-23 21:21:15] Recieved info from Drone!  7
[2024-02-23 21:21:15] Wrote data to window! 3


[2024-02-23 21:21:15] Recieved info from Drone!  7
[2024-02-23 21:21:15] Wrote data to window! 3

[2024-02-23 21:21:15] Recieved info from Drone!  7
[2024-02-23 21:21:15] Wrote data to window! 3



[2024-02-23 21:21:15] Recieved info from Drone!  7
[2024-02-23 21:21:15] Wrote data to window! 3

[2024-02-23 21:21:15] Recieved info from Drone!  7
[2024-02-23 21:21:15] Wrote data to window! 3





[2024-02-23 21:21:15] Recieved info from Drone!  7
[2024-02-23 21:21:15] Wrote data to window! 3



[2024-02-23 21:21:15] Recieved info from Drone!  7
[2024-02-23 21:21:15] Wrote data to window! 3



[2024-02-23 21:21:15] Recieved info from Drone!  7
[2024-02-23 21:21:15] Wrote data to window! 3







[2024-02-23 21:21:16] Recieved info from Drone!  7
[2024-02-23 21:21:16] Wrote data to window! 3





[2024-02-23 21:21:16] Recieved info from Drone!  7
[2024-02-23 21:21:16] Wrote data to window! 3




[2024-02-23 21:21:16] Recieved info from Drone!  7
[2024-02-23 21:21:16] Wrote data to window! 3

[2024-02-23 21:21:16] Recieved info from Drone!  7
[2024-02-23 21:21:16] Wrote data to window! 3




[2024-02-23 21:21:16] Recieved info from Drone!  7
[2024-02-23 21:21:16] Wrote data to window! 3


[2024-02-23 21:21:16] Recieved info from Drone!  7
[2024-02-23 21:21:16] Wrote data to window! 3


[2024-02-23 21:21:16] Recieved info from Drone!  7
[2024-02-23 21:21:16] Wrote data to window! 3

[2024-02-23 21:21:16] Recieved info from Drone!  7
[2024-02-23 21:21:16] Wrote data to window! 3






[2024-02-23 21:21:16] Recieved info from Drone!  7
[2024-02-23 21:21:16] Wrote data to window! 3


[2024-02-23 21:21:16] Recieved info from Drone!  7
[2024-02-23 21:21:16] Wrote data to window! 3


[2024-02-23 21:21:17] Recieved info from Drone!  7
[2024-02-23 21:21:17] Wrote data to window! 3

[2024-02-23 21:21:17] Recieved info from Drone!  7
[2024-02-23 21:21:17] Wrote data to window! 3

[2024-02-23 21:21:17] Recieved info from Drone!  7
[2024-02-23 21:21:17] Wrote data to window! 3





[2024-02-23 21:21:17] Recieved info from Drone!  7
[2024-02-23 21:21:17] Wrote data to window! 3



[2024-02-23 21:21:17] Recieved info from Drone!  7
[2024-02-23 21:21:17] Wrote data to window! 3

[2024-02-23 21:21:17] Recieved info from Drone!  7
[2024-02-23 21:21:17] Wrote data to window! 3

[2024-02-23 21:21:17] Recieved info from Drone!  7
[2024-02-23 21:21:17] Wrote data to window! 3






[2024-02-23 21:21:17] Recieved info from Drone!  7
[2024-02-23 21:21:17] Wrote data to window! 3

[2024-02-23 21:21:17] Recieved info from Drone!  7
[2024-02-23 21:21:17] Wrote data to window! 3



